Industry,Region,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption,Market_Type,Actual_ESG,Predicted_ESG,Error,Absolute_Error
Healthcare,Latin America,2018,2004.0,16.9,5337.6,-5.4,92.0,33.2,42.4,111378.9,111378.9,222757.8,Emerging,55.9,55.52108117920418,0.3789188207958176,0.3789188207958176
Healthcare,Africa,2022,2657.0,33.4,13268.4,9.9,76.9,5.3,36.4,175765.0,175765.0,351530.1,Emerging,39.5,38.572710172263655,0.9272898277363453,0.9272898277363453
Manufacturing,Asia,2017,676.6,13.9,777.2,11.2,24.8,30.0,73.1,208419.6,277892.7,3473659.3,Emerging,42.6,43.47247945937213,-0.8724794593721299,0.8724794593721299
Healthcare,Europe,2017,4385.8,14.2,13347.5,17.1,48.2,76.7,84.4,378426.0,378426.0,756851.9,Developed,69.7,69.41402189009915,0.28597810990085293,0.28597810990085293
Utilities,Africa,2023,1419.9,17.2,2333.6,-2.5,20.9,44.0,17.8,1196770.4,747981.5,11967703.6,Emerging,27.6,27.67926574677546,-0.07926574677545872,0.07926574677545872
Transportation,Asia,2023,1226.3,4.8,878.8,4.0,20.0,64.3,58.1,779965.9,129994.3,2599886.3,Emerging,47.5,47.765839062939285,-0.2658390629392855,0.2658390629392855
Transportation,Middle East,2019,673.4,-0.9,2699.5,10.6,59.9,67.2,28.6,315544.6,52590.8,1051815.2,Emerging,51.9,52.159523626411236,-0.2595236264112373,0.2595236264112373
Healthcare,Oceania,2021,1646.4,25.4,4816.0,0.1,100.0,23.8,71.1,82321.5,82321.5,164643.0,Developed,65.0,65.47948744143086,-0.4794874414308623,0.4794874414308623
Healthcare,Latin America,2021,3354.3,14.9,12112.2,18.3,81.3,70.4,34.8,211714.6,211714.6,423429.2,Emerging,62.2,62.16516121001153,0.0348387899884699,0.0348387899884699
Finance,Africa,2021,2586.3,10.0,2737.0,-5.2,51.7,16.2,39.3,43344.6,21672.3,108361.5,Emerging,35.7,35.158708858429314,0.5412911415706887,0.5412911415706887
Manufacturing,Middle East,2019,922.8,9.8,1781.6,-10.4,37.2,31.0,5.0,260116.7,346822.3,4335278.3,Emerging,24.4,25.420559448641676,-1.0205594486416771,1.0205594486416771
Utilities,Oceania,2024,2007.2,8.8,1769.6,6.4,78.1,100.0,44.8,1049493.9,655933.7,10494938.6,Developed,74.3,75.17977583552374,-0.8797758355237448,0.8797758355237448
Utilities,Asia,2025,353.9,9.6,311.3,-6.4,47.6,49.5,10.3,245474.0,153421.2,2454739.9,Emerging,35.8,36.086306573592665,-0.2863065735926682,0.2863065735926682
Consumer Goods,Africa,2018,1342.1,-4.5,2639.7,19.8,52.8,28.0,65.9,222811.9,278514.8,1114059.3,Emerging,48.9,48.821082035185874,0.07891796481412428,0.07891796481412428
Transportation,Oceania,2017,138.8,11.0,209.8,-1.3,29.1,64.1,75.9,82979.1,13829.8,276596.9,Developed,56.3,56.85949516733849,-0.5594951673384898,0.5594951673384898
Finance,Latin America,2016,1743.7,16.9,4582.3,-5.9,100.0,50.1,39.5,17436.6,8718.3,43591.4,Emerging,63.2,63.33024479254499,-0.13024479254498544,0.13024479254498544
Finance,Asia,2021,2752.8,13.8,4436.2,5.2,97.9,55.5,36.6,28331.5,14165.8,70828.8,Emerging,63.3,63.59201722717017,-0.2920172271701702,0.2920172271701702
Retail,North America,2017,759.3,9.1,1088.3,5.5,63.5,82.6,79.5,57377.4,28688.7,114754.9,Developed,75.2,75.14029103576081,0.05970896423919214,0.05970896423919214
Finance,Latin America,2025,2922.7,10.1,5031.8,8.0,90.7,34.7,47.2,33037.2,16518.6,82593.1,Emerging,57.5,58.35166670618708,-0.851666706187082,0.851666706187082
Retail,Africa,2022,1189.7,4.3,995.4,-5.0,37.4,84.4,56.1,111621.1,55810.6,223242.3,Emerging,59.3,60.1899668975519,-0.8899668975519006,0.8899668975519006
Technology,Middle East,2024,3836.2,15.6,11373.3,-0.1,98.5,85.2,44.0,97951.3,58770.8,195902.7,Emerging,75.9,75.74633248368048,0.1536675163195298,0.1536675163195298
Healthcare,Europe,2025,7882.9,29.9,43793.0,3.0,65.0,61.1,62.9,587468.3,587468.3,1174936.7,Developed,63.0,63.91681027754854,-0.9168102775485423,0.9168102775485423
Transportation,Asia,2024,1212.4,-13.1,1384.7,17.9,59.4,69.2,65.9,570256.5,95042.8,1900855.1,Emerging,64.8,64.38869611755587,0.4113038824441304,0.4113038824441304
Manufacturing,Latin America,2023,3011.3,6.2,1760.2,-9.9,44.4,41.4,69.9,803332.1,1071109.5,13388868.5,Emerging,51.9,51.980469586782334,-0.08046958678233551,0.08046958678233551
Utilities,North America,2023,1118.6,14.3,1337.3,-8.8,26.4,48.9,73.5,908304.2,567690.1,9083042.3,Developed,49.6,48.70889477104265,0.8911052289573504,0.8911052289573504
Consumer Goods,Europe,2021,5095.5,13.8,9931.6,3.2,91.7,95.4,88.6,569026.5,711283.1,2845132.3,Developed,91.9,92.03175680596209,-0.13175680596208394,0.13175680596208394
Utilities,North America,2022,2556.7,17.1,5930.2,4.7,65.2,44.7,65.6,1521016.6,950635.4,15210165.7,Developed,58.5,58.331173435156366,0.16882656484363423,0.16882656484363423
Technology,Africa,2021,68992.2,15.8,284916.4,14.7,100.0,20.4,57.6,1724805.8,1034883.5,3449611.6,Emerging,59.3,59.45045773220157,-0.15045773220157344,0.15045773220157344
Consumer Goods,Latin America,2025,1422.8,10.0,1750.3,11.7,8.7,59.6,16.1,324210.8,405263.5,1621053.9,Emerging,28.1,28.04080106224519,0.059198937754811,0.059198937754811
Utilities,Middle East,2019,1595.1,5.5,1244.7,14.3,66.7,31.2,44.0,935820.9,584888.1,9358209.4,Emerging,47.3,48.49521204595072,-1.1952120459507256,1.1952120459507256
Utilities,Africa,2021,1378.7,15.1,3058.5,-2.8,18.9,41.9,17.2,1177730.2,736081.4,11777301.9,Emerging,26.0,27.139668051741936,-1.1396680517419355,1.1396680517419355
Consumer Goods,Middle East,2019,714.2,17.6,2431.6,12.0,18.3,32.5,60.6,153122.5,191403.1,765612.4,Emerging,37.1,36.79511327847969,0.3048867215203117,0.3048867215203117
Finance,Latin America,2019,2070.6,13.9,5734.4,6.3,90.0,29.4,43.5,23593.4,11796.7,58983.4,Emerging,54.3,55.043871546719544,-0.7438715467195465,0.7438715467195465
Healthcare,Middle East,2017,1162.8,21.1,5362.2,1.1,84.4,77.2,58.4,70811.3,70811.3,141622.5,Emerging,73.3,74.0636424276411,-0.763642427641102,0.763642427641102
Consumer Goods,Asia,2016,2497.4,9.6,2964.4,-3.2,50.3,58.0,79.5,423599.8,529499.8,2117999.1,Emerging,62.6,61.675689185158525,0.9243108148414763,0.9243108148414763
Utilities,Oceania,2019,2994.6,7.3,2086.3,3.3,10.4,78.4,72.2,2700657.8,1687911.1,27006577.5,Developed,53.7,53.69451489628103,0.005485103718974926,0.005485103718974926
Healthcare,Latin America,2024,1255.9,19.8,5158.7,23.0,59.3,40.9,38.4,98599.4,98599.4,197198.8,Emerging,46.2,46.50701710523929,-0.3070171052392894,0.3070171052392894
Healthcare,Oceania,2015,1921.1,16.8,4615.2,,81.0,48.5,38.8,121591.1,121591.1,243182.2,Developed,56.1,56.26465880939904,-0.164658809399036,0.164658809399036
Technology,Latin America,2021,4449.3,19.7,15917.8,0.8,100.0,49.8,85.2,111232.0,66739.2,222464.0,Emerging,78.3,78.06275045218038,0.2372495478196157,0.2372495478196157
Technology,Africa,2015,5036.7,21.2,23192.4,,97.6,46.2,18.9,130146.6,78087.9,260293.2,Emerging,54.2,54.149981844124625,0.050018155875378056,0.050018155875378056
Utilities,Middle East,2022,1813.2,10.9,2763.4,5.7,38.6,56.1,14.9,1348907.7,843067.3,13489077.3,Emerging,36.5,36.770745225542086,-0.27074522554208613,0.27074522554208613
Manufacturing,North America,2020,2101.6,15.2,3362.7,-8.5,32.6,61.5,45.5,612746.4,816995.2,10212439.9,Developed,46.5,45.86940629081742,0.6305937091825768,0.6305937091825768
Manufacturing,Oceania,2023,3007.2,6.8,2155.6,9.1,41.1,34.2,70.3,823071.1,1097428.2,13717852.4,Developed,48.5,47.546827853438735,0.9531721465612648,0.9531721465612648
Utilities,Africa,2025,1910.2,8.8,2180.9,4.1,60.6,22.4,33.4,1185442.0,740901.3,11854420.2,Emerging,38.8,39.825475011097886,-1.025475011097889,1.025475011097889
Energy,Africa,2017,2131.8,7.3,2523.1,3.8,57.7,66.9,31.1,1696554.5,508966.4,16965545.3,Emerging,51.9,52.770952519366446,-0.8709525193664476,0.8709525193664476
Retail,Oceania,2022,683.9,4.6,514.7,-1.4,73.9,45.7,43.8,46695.2,23347.6,93390.4,Developed,54.5,53.70025815222074,0.7997418477792593,0.7997418477792593
Energy,North America,2016,13513.5,3.6,6287.2,-14.6,32.2,57.0,77.6,13167956.1,3950386.8,131679561.4,Developed,55.6,54.97758757086152,0.6224124291384783,0.6224124291384783
Healthcare,Asia,2024,1080.1,26.2,4832.3,-5.2,58.4,51.6,76.9,85439.4,85439.4,170878.8,Emerging,62.3,62.18419672424913,0.11580327575087068,0.11580327575087068
Utilities,Middle East,2022,843.7,0.3,33.1,-6.3,69.0,67.4,67.0,484190.5,302619.0,4841904.7,Emerging,67.8,67.16358488081212,0.6364151191878733,0.6364151191878733
Energy,Europe,2017,9641.4,1.6,2816.7,-3.3,24.5,81.7,63.8,9918097.2,2975429.2,99180971.8,Developed,56.7,56.93926274364598,-0.23926274364598044,0.23926274364598044
Consumer Goods,Middle East,2024,2068.2,17.6,8283.3,5.2,88.9,67.2,13.1,238834.9,298543.6,1194174.4,Emerging,56.4,55.32080968033627,1.0791903196637307,1.0791903196637307
Consumer Goods,North America,2017,2011.0,9.3,3231.9,6.7,73.2,63.0,33.0,276614.9,345768.7,1383074.7,Developed,56.4,56.226981160943595,0.1730188390564038,0.1730188390564038
Energy,North America,2021,1012.6,-3.4,1486.9,-16.5,29.4,27.8,88.0,1006834.9,302050.5,10068348.7,Developed,48.4,48.38509536852993,0.014904631470066931,0.014904631470066931
Healthcare,Latin America,2021,435.1,5.0,257.2,-2.3,79.8,31.6,23.8,27918.5,27918.5,55837.0,Emerging,45.0,45.58539839587082,-0.5853983958708184,0.5853983958708184
Healthcare,North America,2017,2096.7,27.7,7739.4,-1.0,86.9,44.8,96.8,124068.1,124068.1,248136.2,Developed,76.2,76.48520615619877,-0.2852061561987682,0.2852061561987682
Manufacturing,Africa,2017,1500.0,6.9,1877.3,-4.7,3.7,83.0,20.5,528252.3,704336.4,8804205.0,Emerging,35.7,35.83961282457855,-0.13961282457854907,0.13961282457854907
Manufacturing,Europe,2023,488.7,4.1,174.3,9.5,18.5,95.9,57.9,156961.1,209281.5,2616019.0,Developed,57.4,56.74126008409672,0.6587399159032756,0.6587399159032756
Finance,Latin America,2015,8353.2,9.4,10515.8,,98.1,89.4,82.8,85812.2,42906.1,214530.6,Emerging,90.1,90.22412043994457,-0.12412043994457633,0.12412043994457633
Retail,Asia,2016,1158.0,10.0,1605.4,0.6,32.5,87.5,79.4,112594.6,56297.3,225189.2,Emerging,66.5,66.42013542809036,0.07986457190963847,0.07986457190963847
Finance,Africa,2016,19168.5,6.7,24627.5,9.0,80.5,31.5,22.4,244021.9,122010.9,610054.7,Emerging,44.8,45.3914038079074,-0.5914038079074047,0.5914038079074047
Consumer Goods,Europe,2024,12045.9,-0.1,46797.8,17.9,63.1,100.0,94.7,1826182.3,2282727.9,9130911.4,Developed,85.9,85.48804917247566,0.4119508275243504,0.4119508275243504
Retail,Middle East,2018,977.7,0.3,29.5,6.4,68.7,46.1,52.6,70284.2,35142.1,140568.5,Emerging,55.8,55.75782226133169,0.04217773866830754,0.04217773866830754
Healthcare,Middle East,2021,4995.5,12.5,11076.0,23.7,46.8,42.3,18.8,435661.1,435661.1,871322.3,Emerging,36.0,36.170412238890684,-0.1704122388906839,0.1704122388906839
Utilities,Middle East,2019,241.6,8.7,242.9,6.8,52.9,60.3,5.2,160367.0,100229.3,1603669.5,Emerging,39.5,39.99129164912573,-0.49129164912572776,0.49129164912572776
Energy,Asia,2016,6903.3,7.4,7961.1,12.9,57.4,82.1,43.8,5508036.0,1652410.8,55080360.1,Emerging,61.1,61.737868688376324,-0.6378686883763223,0.6378686883763223
Utilities,Asia,2018,1095.2,7.3,1011.7,11.9,64.4,52.0,53.1,656452.7,410283.0,6564527.5,Emerging,56.5,57.21587942334392,-0.715879423343921,0.715879423343921
Utilities,Asia,2018,990.6,11.3,929.2,7.7,27.6,17.5,19.1,797972.1,498732.5,7979720.7,Emerging,21.4,21.49530912251243,-0.09530912251243251,0.09530912251243251
Retail,Oceania,2020,2043.4,3.7,954.7,7.3,58.4,81.5,37.0,161658.0,80829.0,323315.9,Developed,59.0,59.66299150660355,-0.6629915066035466,0.6629915066035466
Retail,Oceania,2025,361.2,0.2,15.7,0.8,66.0,41.1,81.6,26659.8,13329.9,53319.5,Developed,62.9,63.09680907809521,-0.19680907809521386,0.19680907809521386
Technology,Latin America,2023,2809.4,0.7,439.7,10.2,100.0,70.2,48.8,70236.1,42141.6,140472.1,Emerging,73.0,73.00672118151348,-0.006721181513483998,0.006721181513483998
Manufacturing,Europe,2021,793.4,13.8,1198.7,6.9,100.0,90.3,24.8,119003.5,158671.3,1983391.4,Developed,71.7,71.77255100035453,-0.07255100035452244,0.07255100035452244
Healthcare,North America,2016,9941.7,17.4,17841.7,23.9,67.6,60.1,74.9,722286.2,722286.2,1444572.3,Developed,67.5,67.80231247299737,-0.30231247299737163,0.30231247299737163
Transportation,Asia,2020,3872.6,1.3,431.9,14.1,11.6,52.0,28.6,2600362.2,433393.7,8667874.0,Emerging,30.7,31.224312029448736,-0.5243120294487369,0.5243120294487369
Retail,Oceania,2015,354.1,6.0,414.1,,55.3,87.8,51.6,28770.5,14385.2,57541.0,Developed,64.9,64.5070456011529,0.3929543988471096,0.3929543988471096
Finance,Europe,2024,3704.4,13.9,5514.1,-0.5,98.0,77.4,94.2,38066.1,19033.0,95165.2,Developed,89.9,90.01107857304282,-0.11107857304281765,0.11107857304281765
Retail,Oceania,2015,739.5,1.6,165.9,,60.4,40.3,39.7,57485.6,28742.8,114971.2,Developed,46.8,47.375629577187105,-0.575629577187108,0.575629577187108
Technology,Asia,2017,3615.4,22.9,17389.5,17.6,92.4,26.4,66.6,100064.4,60038.6,200128.7,Emerging,61.8,61.539621852922096,0.2603781470779012,0.2603781470779012
Energy,Latin America,2022,10912.4,22.2,24415.5,-2.7,22.9,29.3,18.0,11342517.7,3402755.3,113425177.1,Emerging,23.4,23.729139036460182,-0.32913903646018383,0.32913903646018383
Energy,Latin America,2025,1049.1,-20.0,4317.0,-10.9,54.2,62.4,22.5,860562.5,258168.8,8605625.5,Emerging,46.4,45.775301534733906,0.6246984652660927,0.6246984652660927
Transportation,Africa,2020,521.0,16.5,784.2,-6.2,34.0,36.7,24.5,300765.7,50127.6,1002552.3,Emerging,31.7,32.19295618381243,-0.4929561838124279,0.4929561838124279
Healthcare,North America,2016,2236.4,5.9,2949.2,10.7,40.2,91.5,49.5,205370.8,205370.8,410741.5,Developed,60.4,60.39344476177417,0.00655523822582893,0.00655523822582893
Transportation,Europe,2024,157.7,-0.3,407.6,-6.0,14.4,94.5,84.8,103999.7,17333.3,346665.6,Developed,64.6,65.30347006087825,-0.70347006087826,0.70347006087826
Transportation,Africa,2016,1031.9,11.0,1993.9,-9.7,20.6,48.3,18.2,653517.7,108919.6,2178392.2,Emerging,29.0,28.313355715428752,0.6866442845712477,0.6866442845712477
Utilities,Latin America,2025,1757.2,-0.4,8328.3,-2.6,69.1,46.6,39.1,1006584.4,629115.3,10065844.5,Emerging,51.6,52.77751690759044,-1.1775169075904373,1.1775169075904373
Retail,Middle East,2018,3650.2,-3.2,6883.1,1.5,88.8,14.7,11.4,211038.6,105519.3,422077.3,Emerging,38.3,39.053880938255645,-0.753880938255648,0.753880938255648
Manufacturing,Europe,2015,504.7,0.1,4.4,,19.8,97.8,59.0,160715.9,214287.8,2678597.5,Developed,58.9,58.35984429751329,0.5401557024867074,0.5401557024867074
Consumer Goods,Asia,2021,3096.4,13.9,9717.4,-2.4,44.3,30.3,39.5,550983.6,688729.5,2754918.0,Emerging,38.0,38.47984248296166,-0.4798424829616579,0.4798424829616579
Finance,Europe,2020,11614.4,19.6,39713.3,2.8,86.1,72.1,78.5,138751.1,69375.5,346877.7,Developed,78.9,78.8926403406235,0.007359659376504624,0.007359659376504624
Healthcare,Middle East,2021,13103.6,-6.3,14774.0,0.6,51.2,61.8,27.7,1102661.1,1102661.1,2205322.3,Emerging,46.9,46.67981520934593,0.22018479065406638,0.22018479065406638
Transportation,Africa,2021,4258.0,16.1,5852.4,19.3,24.3,35.7,48.7,2631407.1,438567.9,8771357.1,Emerging,36.2,36.71744376115561,-0.5174437611556044,0.5174437611556044
Healthcare,Europe,2018,5138.5,6.2,5638.4,-3.9,78.5,78.2,79.5,334402.6,334402.6,668805.2,Developed,78.7,78.82222076112238,-0.12222076112237801,0.12222076112237801
Transportation,Oceania,2018,749.9,7.4,664.4,4.6,13.8,90.6,20.9,496447.7,82741.3,1654825.8,Developed,41.8,40.36470263421327,1.4352973657867238,1.4352973657867238
Healthcare,Middle East,2015,7073.8,8.6,14701.2,,39.7,66.9,9.9,652342.9,652342.9,1304685.8,Emerging,38.8,39.93751094781106,-1.1375109478110659,1.1375109478110659
Transportation,Asia,2021,1138.0,-3.8,1809.8,17.6,33.2,44.5,78.1,660772.9,110128.8,2202576.4,Emerging,51.9,51.97202774474679,-0.07202774474679075,0.07202774474679075
Healthcare,Latin America,2018,20657.4,10.4,27344.6,11.2,73.2,36.2,23.1,1420307.3,1420307.3,2840614.5,Emerging,44.2,45.09060178438836,-0.8906017843883589,0.8906017843883589
Consumer Goods,Africa,2022,743.0,6.6,1115.3,3.6,91.5,48.8,63.5,83163.2,103954.1,415816.2,Emerging,67.9,67.33586811957615,0.564131880423858,0.564131880423858
Manufacturing,Oceania,2020,876.4,1.3,175.6,1.8,22.4,35.4,76.6,274343.2,365790.9,4572386.9,Developed,44.8,45.0641290951018,-0.2641290951018007,0.2641290951018007
Technology,North America,2025,4688.2,26.4,38828.0,1.0,74.7,30.5,83.7,158742.8,95245.7,317485.6,Developed,63.0,62.912094942724984,0.08790505727501596,0.08790505727501596
Healthcare,Africa,2020,1982.3,35.4,9394.4,-1.5,72.2,5.3,34.4,137724.4,137724.4,275448.8,Emerging,37.3,36.31144329296346,0.9885567070365369,0.9885567070365369
Utilities,Europe,2020,871.0,9.5,896.1,-1.1,28.6,74.2,89.1,696665.6,435416.0,6966656.2,Developed,64.0,64.57463391885547,-0.5746339188554686,0.5746339188554686
Healthcare,Middle East,2024,8534.8,12.8,18168.0,20.1,38.7,44.7,24.7,793144.4,793144.4,1586288.9,Emerging,36.0,35.354688665115255,0.6453113348847452,0.6453113348847452
Consumer Goods,Middle East,2015,858.8,9.8,1346.1,,57.7,27.4,20.9,136792.4,170990.5,683961.8,Emerging,35.3,35.97257382195937,-0.6725738219593751,0.6725738219593751
Manufacturing,Africa,2016,1742.1,11.4,4209.9,0.5,82.8,25.9,11.7,324151.9,432202.6,5402532.4,Emerging,40.1,41.02484173420601,-0.9248417342060051,0.9248417342060051
Technology,Asia,2019,14985.6,24.5,109139.2,-6.1,84.3,46.0,74.9,456993.2,274195.9,913986.4,Emerging,68.4,69.89926818872235,-1.4992681887223398,1.4992681887223398
Technology,Europe,2024,9183.3,31.3,85307.8,6.0,80.8,57.7,79.2,291315.7,174789.4,582631.4,Developed,72.6,73.85846674695425,-1.2584667469542552,1.2584667469542552
Transportation,Oceania,2025,638.4,14.9,1648.5,-2.9,10.8,62.5,13.4,430640.1,71773.3,1435467.0,Developed,28.9,28.84736804067732,0.05263195932267806,0.05263195932267806
Utilities,Africa,2025,1357.3,11.1,1338.2,19.5,30.5,35.9,15.5,1071338.8,669586.8,10713388.2,Emerging,27.3,26.940438269348785,0.3595617306512153,0.3595617306512153
Energy,Europe,2017,7082.5,-0.7,35225.0,18.1,77.6,85.8,55.9,4649906.1,1394971.8,46499061.4,Developed,73.1,73.64452481500408,-0.5445248150040811,0.5445248150040811
Energy,Latin America,2020,1659.8,24.2,3347.1,-1.3,79.6,39.8,47.2,1066821.0,320046.3,10668210.5,Emerging,55.5,55.31265934731562,0.1873406526843766,0.1873406526843766
Manufacturing,Europe,2018,425.5,15.5,858.8,2.4,41.7,92.0,62.2,115963.8,154618.3,1932729.3,Developed,65.3,64.70628678101444,0.5937132189855561,0.5937132189855561
Consumer Goods,Europe,2015,518.4,11.0,627.7,,7.0,62.4,90.7,119331.7,149164.6,596658.6,Developed,53.4,53.927954103085014,-0.5279541030850154,0.5279541030850154
Healthcare,Africa,2015,1044.1,12.9,1863.4,,86.6,28.7,20.2,61983.3,61983.3,123966.5,Emerging,45.2,44.54089506698058,0.659104933019421,0.659104933019421
Healthcare,Latin America,2022,440.7,4.9,312.7,1.3,81.2,29.2,25.2,27833.4,27833.4,55666.9,Emerging,45.2,44.79165294596859,0.4083470540314096,0.4083470540314096
Finance,Latin America,2022,9885.4,15.7,19897.2,-1.7,99.2,27.7,52.5,99958.0,49979.0,249894.9,Emerging,59.8,59.66398817330403,0.13601182669597023,0.13601182669597023
Transportation,Europe,2022,1962.8,-4.7,8815.5,-6.6,56.1,29.8,72.8,950661.5,158443.6,3168871.6,Developed,52.9,52.20647077365281,0.6935292263471879,0.6935292263471879
Consumer Goods,Europe,2017,781.0,2.2,263.3,19.4,31.0,81.5,86.3,153576.9,191971.2,767884.7,Developed,66.3,67.17873615722802,-0.878736157228019,0.878736157228019
Finance,Middle East,2018,2400.1,15.1,6251.3,8.5,82.7,30.5,39.3,29822.4,14911.2,74556.1,Emerging,50.8,50.75759694089801,0.04240305910198572,0.04240305910198572
Retail,Latin America,2022,820.8,-1.2,3220.7,-18.7,84.9,14.3,54.0,49727.2,24863.6,99454.4,Emerging,51.0,51.207516958412484,-0.20751695841248363,0.20751695841248363
Transportation,Oceania,2019,960.2,0.3,35.5,4.3,38.0,87.9,46.6,537906.5,89651.1,1793021.8,Developed,57.5,58.34614259737518,-0.8461425973751773,0.8461425973751773
Energy,Asia,2018,5103.6,-6.7,10398.3,5.2,80.9,54.8,60.4,3233790.4,970137.1,32337903.6,Emerging,65.4,65.33000613336944,0.06999386663056839,0.06999386663056839
Finance,North America,2020,6778.1,9.0,5582.5,9.3,60.9,71.6,79.2,104888.3,52444.1,262220.7,Developed,70.6,70.49194643632944,0.10805356367055197,0.10805356367055197
Consumer Goods,Europe,2016,653.9,5.0,688.3,15.7,27.7,82.6,88.7,131597.8,164497.3,657989.2,Developed,66.3,65.13993047421735,1.1600695257826459,1.1600695257826459
